Year,Track,Artist,Album,Duration (s),Genres,Track ID,Release Date,Popularity
2009,Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),294,"art pop, pop",0SiywuOBRcynK0uKGWdCnn,2009-11-05,84
2009,Empire State Of Mind,"JAY-Z, Alicia Keys",The Blueprint 3,276,"hip hop, east coast hip hop, rap",2igwFfvr1OAGX9SKDCPBwO,2009-09-08,82
2009,Total Eclipse of the Heart,Bonnie Tyler,The Very Best of Bonnie Tyler,267,Unknown,7wuJGgpTNzbUyn26IOY6rj,2009-03-26,81
2009,Right Round,"Flo Rida, Kesha",R.O.O.T.S. (Route of Overcoming the Struggle),204,Unknown,3GpbwCm3YxiWDvy29Uo3vP,2009-03-23,80
2009,Monster,Skillet,Awake,178,"christian rock, christian alternative rock, christian",2UREu1Y8CO4jXkbvqAtP7g,2009-08-21,79
2009,The Only Exception,Paramore,Brand New Eyes,267,"pop punk, emo, emo pop",7JIuqL4ZqkpfGKQhYlrirs,2009-09-28,78
2009,Down,"Jay Sean, Lil Wayne",All Or Nothing,212,Unknown,6cmm1LMvZdB5zsCwX5BjqE,2009-01-01,78
2009,Telephone,"Lady Gaga, Beyoncé",The Fame Monster (Deluxe Edition),220,"art pop, pop",7rl7ao5pb9BhvAzPdWStxi,2009-08-05,78
2009,Run This Town,"JAY-Z, Rihanna, Kanye West",The Blueprint 3,267,"hip hop, east coast hip hop, rap",7LR85XLWw2yXqKBSI5brbG,2009-09-08,78
2009,Fireflies,Owl City,Ocean Eyes,228,Unknown,3DamFFqW32WihKkTVlwTYQ,2009-01-01,78
2009,Rude Boy,Rihanna,Rated R,222,Unknown,60jzFy6Nn4M0iD1d94oteF,2009-11-20,78
2009,Best I Ever Had,Drake,So Far Gone,257,"rap, hip hop",3QLjDkgLh9AOEHlhQtDuhs,2009,77
2009,You Found Me,The Fray,The Fray,241,Unknown,4IoYz8XqqdowINzfRrFnhi,2009-02-02,77
2009,Hotel Room Service,Pitbull,Pitbull Starring In Rebelution,237,Unknown,0OPyDgTRuIdCJ9B4bYSths,2009-08-27,77
2009,Dile al Amor,Aventura,The Last,229,"bachata, bachata pop",2Bhmj4XK33InfhqKPxcJ1v,2009-06-09,77
2009,Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives,202,Unknown,5Q0Nhxo0l2bP3pNjpGJwV1,2009-01-01,76
2009,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),289,Unknown,2H1047e0oMSj10dgp7p2VG,2009-01-01,76
2009,Home - 2019 Remaster,Edward Sharpe & The Magnetic Zeros,Up From Below - 10th Anniversary Edition,306,Unknown,5m1x4QRgaKmK8cTkZQjGRr,2009-07-07,76
2009,Secrets,OneRepublic,Waking Up,224,soft pop,1NhPKVLsHhFUHIOZ32QnS2,2009-01-01,76
2009,Dog Days Are Over,Florence + The Machine,Lungs (Deluxe Edition),251,baroque pop,1YLJVmuzeM2YSUkCCaTNUB,2009,75
2009,Ain't No Rest for the Wicked,Cage The Elephant,Cage The Elephant (Expanded Edition),175,modern rock,3Pzh926pXggbMe2ZpXyMV7,2009-03-24,75
2009,Meet Me Halfway,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),284,Unknown,6wOYnPq1hPihRepcDClPUw,2009-01-01,75
2009,Big Black Car,Gregory Alan Isakov,This Empty Northern Hemisphere,217,"indie folk, folk, folk pop",3Kj2EWpIBnvETsYq4cq0IH,2009-01-01,75
